Name,Title,_Artist1,_Artist2,_Artist3,_Artist4,_Artist5,url,Type,Lyric,Video,Christmas,Live,Remix,Cover,id,Start,End,Uploader,Duration
Martin Garrix Feat. Jrm - These Are The Times (Official Video),Jrm These Are The Times,Martin Garrix,,,,,https://www.youtube.com/watch?v=ED3jOCQUNJM,Video,0,1,0,0,0,0,ED3jOCQUNJM,0.0,0.0,Martin Garrix,192
Martin Garrix Feat. Macklemore & Patrick Stump Of Fall Out Boy - Summer Days (Official Video),Patrick Stump Of Summer Days,Martin Garrix,Fall Out Boy,Macklemore,Macklemore,,https://www.youtube.com/watch?v=8OwVaewDtS8,Video,0,1,0,0,0,0,8OwVaewDtS8,0.0,0.0,Martin Garrix,166
Martin Garrix & Dua Lipa - Scared To Be Lonely (Official Video),Scared To Be Lonely,Martin Garrix,Dua Lipa,,,,https://www.youtube.com/watch?v=e2vBLd5Egnk,Video,0,1,0,0,0,0,e2vBLd5Egnk,0.0,0.0,Martin Garrix,230
Scared To Be Lonely - Martin Garrix & Dua Lipa (Lyrics),Scared To Be Lonely,Martin Garrix,Dua Lipa,,,,https://www.youtube.com/watch?v=uHXGYiytVvM,Lyric,1,0,0,0,0,0,uHXGYiytVvM,0.0,0.0,Dopelyrics,233
Martin Garrix - Scared To Be Lonely ( Cover By J.Fla ),Scared To Be Lonely Cover,Martin Garrix,J Fla,,,,https://www.youtube.com/watch?v=BaK1UF4x5CM,Lyric,1,0,0,0,0,1,BaK1UF4x5CM,0.0,0.0,Jflamusic,151
Martin Garrix - Summer Days (Clean - Lyrics) Ft. Macklemore & Patrick Stump,Summer Days Clean Patrick Stump,Martin Garrix,Macklemore,,,,https://www.youtube.com/watch?v=YwZNFMWnxes,Lyric,1,0,0,0,0,0,YwZNFMWnxes,0.0,0.0,Polar Records,164
Martin Solveig Feat. Dragonette - Boys & Girls [Official Video Hd],Boys Girls,Martin Solveig,Dragonette,,,,https://www.youtube.com/watch?v=Sh0UN0OdYtA,Video,0,1,0,0,0,0,Sh0UN0OdYtA,0.0,0.0,Energy Tv,241
Martin Solveig - Hello,Hello,Martin Solveig,Dragonette,,,,https://www.youtube.com/watch?v=jNm_wrWquPs,Lyric,1,0,0,0,0,0,jNm_wrWquPs,0.0,0.0,Nowaklimak,282
Martin Solveig & Dragonette - Hello (Original Club Mix),Hello Original Club Mix,Martin Solveig,Dragonette,,,,https://www.youtube.com/watch?v=KPK0WeakH7I,Lyric,1,0,0,0,0,0,KPK0WeakH7I,0.0,0.0,Hotnewdancemusic,330
Martin Solveig & Dragonette - Hello (Official Short Video Version Hd),Hello Short,Martin Solveig,Dragonette,,,,https://www.youtube.com/watch?v=kK42LZqO0wA,Video,0,1,0,0,0,0,kK42LZqO0wA,25.0,10.0,Kontor.Tv,253
Martin Tungevaag - Wicked Wonderland (Official Video Hd),Wicked Wonderland,Martin Tungevaag,,,,,https://www.youtube.com/watch?v=egtI2xqg75E,Video,0,1,0,0,0,0,egtI2xqg75E,0.0,0.0,Kontor.Tv,207
"""Ain'T No Mountain High Enough"" Traducida Al Español",Ain't No Mountain High Enough,Marvin Gaye,,,,,https://www.youtube.com/watch?v=LPMih-whmiI,Lyric,1,0,0,0,0,0,LPMih-whmiI,0.0,0.0,Songs For You,147
Echosmith - Tell Her You Love Her - Ft. Mat Kearney {Official Music Video},Tell Her You Love Her,Mat Kearney,Echosmith,Echosmith,,,https://www.youtube.com/watch?v=siDx3G81Wgk,Video,0,1,0,0,0,0,siDx3G81Wgk,0.0,0.0,Echosmith,267
Matchbox Twenty - 3Am (Official Video),3am,Matchbox Twenty,,,,,https://www.youtube.com/watch?v=C-Naa1HXeDQ,Video,0,1,0,0,0,0,C-Naa1HXeDQ,0.0,0.0,Matchbox Twenty,226
Matchbox Twenty - Bent (Official Video),Bent,Matchbox Twenty,,,,,https://www.youtube.com/watch?v=969RAKkYESU,Video,0,1,0,0,0,0,969RAKkYESU,0.0,0.0,Matchbox Twenty,248
